,산업분류,ID,지역,행정구역,인구 수,확진자 수,총사업체수,총종사자수,상용 종사자수,임시및일용 종사자수,인구 대비 확진자 수,인구 대비 산업체 수,인구 대비 산업체 종사자 수,종사자수 대비 산업체 수,종사자수 대비 상용 종사자 수,종사자수 대비 임시및일용 종사자 수,종사자수 대비 비정규 종사자 비
24,택배업,서울 강동,서울,강동구,414231,47,15,177,35,8,0.0113463260837552,0.003621167899070808,0.04272978120903554,8.47457627118644,19.774011299435028,4.519774011299435,22.857142857142858
25,택배업,부산 중구,부산,중구,42766,0,12,110,52,7,0.0,0.028059673572464108,0.2572136744142543,10.909090909090908,47.27272727272727,6.363636363636363,13.461538461538462
26,택배업,부산 서구,부산,서구,107028,7,8,21,8,3,0.006540344582726016,0.0074746795231154465,0.019621033748178047,38.095238095238095,38.095238095238095,14.285714285714285,37.5
27,택배업,부산 동구,부산,동구,84557,1,39,545,199,50,0.0011826341994157787,0.04612273377721537,0.6445356386815995,7.155963302752294,36.51376146788991,9.174311926605505,25.125628140703515
28,택배업,부산 영도,부산,영도구,120731,0,7,19,10,3,0.0,0.005798013766141256,0.015737465936669123,36.84210526315789,52.63157894736842,15.789473684210526,30.0
29,택배업,부산 부산진,부산,부산진구,357723,14,34,162,27,21,0.003913642678832504,0.00950456079145037,0.04528643671220469,20.98765432098765,16.666666666666664,12.962962962962962,77.77777777777779
30,택배업,부산 동래,부산,동래구,258386,39,16,119,22,34,0.015093697026928704,0.006192285959765622,0.04605512682575681,13.445378151260504,18.487394957983195,28.57142857142857,154.54545454545453
31,택배업,부산 남구,부산,남구,282645,7,19,350,75,47,0.0024766049284438074,0.00672221337720462,0.12383024642219038,5.428571428571429,21.428571428571427,13.428571428571429,62.66666666666667
32,택배업,부산 북구,부산,북구,291675,11,11,34,4,0,0.00377132081940516,0.00377132081940516,0.01165680980543413,32.35294117647059,11.76470588235294,0.0,0.0
33,택배업,부산 해운대,부산,해운대구,396311,22,22,284,42,28,0.005551195904226731,0.005551195904226731,0.07166089258183597,7.746478873239436,14.788732394366196,9.859154929577464,66.66666666666666
