,산업분류,ID,지역,행정구역,인구 수,확진자 수,총사업체수,총종사자수,상용 종사자수,임시및일용 종사자수,인구 대비 확진자 수,인구 대비 산업체 수,인구 대비 산업체 종사자 수,종사자수 대비 산업체 수,종사자수 대비 상용 종사자 수,종사자수 대비 임시및일용 종사자 수,종사자수 대비 비정규 종사자 비
13,금융 및 보험업(64~66),서울 마포,서울,마포구,368181,48,505,10751,7075,172,0.013037066008294834,0.1371607986289352,2.920031180316203,4.697237466282207,65.80783182959725,1.5998511766347316,2.4310954063604235
14,금융 및 보험업(64~66),서울 양천,서울,양천구,445591,70,209,2549,1789,33,0.01570947348577507,0.04690399940752843,0.5720492559320094,8.19929384072185,70.18438603373872,1.2946253432718713,1.8446059250978202
15,금융 및 보험업(64~66),서울 강서,서울,강서구,578539,99,337,3996,2336,55,0.017112070232084612,0.05825017846679308,0.6907053802768699,8.433433433433434,58.45845845845846,1.3763763763763763,2.3544520547945207
16,금융 및 보험업(64~66),서울 구로,서울,구로구,433765,89,498,8238,5693,282,0.02051802243150093,0.1148087097852524,1.8991850425921872,6.04515659140568,69.10657926681233,3.423160961398398,4.953451607236959
17,금융 및 보험업(64~66),서울 금천,서울,금천구,249344,38,228,2402,2029,89,0.01523998973305955,0.09143993839835729,0.963327772073922,9.492089925062448,84.47127393838468,3.7052456286427975,4.386397240019714
18,금융 및 보험업(64~66),서울 영등포,서울,영등포구,395286,70,1242,56551,49284,1858,0.017708696994075176,0.31420288095201954,14.306350338742075,2.1962476348782514,87.14965252603845,3.2855298756874327,3.769986202418635
19,금융 및 보험업(64~66),서울 동작,서울,동작구,397980,69,192,3642,1815,33,0.017337554650987488,0.048243630333182574,0.915121362882557,5.2718286655683695,49.83525535420099,0.9060955518945634,1.8181818181818181
20,금융 및 보험업(64~66),서울 관악,서울,관악구,510303,138,173,1857,1590,16,0.02704275695028248,0.03390142719129615,0.3639014467874968,9.316101238556811,85.62197092084006,0.8616047388260636,1.0062893081761006
21,금융 및 보험업(64~66),서울 서초,서울,서초구,409491,61,930,18539,15260,569,0.014896542292748801,0.2271112185615801,4.527327828938853,5.016451804304439,82.31296186417822,3.0692054587626085,3.7287024901703805
22,금융 및 보험업(64~66),서울 강남,서울,강남구,507810,95,1940,34738,26072,685,0.018707784407554006,0.38203265000689235,6.840747523680117,5.584662329437504,75.05325580056422,1.971903966837469,2.6273396747468545
23,금융 및 보험업(64~66),서울 송파,서울,송파구,638167,87,540,8393,6426,251,0.013632795177437882,0.08461734937720064,1.315172987634898,6.433933039437627,76.56380316930776,2.990587394257119,3.906006847183318
24,금융 및 보험업(64~66),서울 강동,서울,강동구,414231,47,263,3669,2114,67,0.0113463260837552,0.06349114383037484,0.8857376681127196,7.168165712728264,57.617879531207414,1.8261106568547287,3.1693472090823085
25,금융 및 보험업(64~66),부산 중구,부산,중구,42766,0,215,2287,1294,49,0.0,0.5027358181733153,5.347706121685452,9.40096195889812,56.580673371228684,2.1425448185395717,3.786707882534776
26,금융 및 보험업(64~66),부산 서구,부산,서구,107028,7,66,512,481,13,0.006540344582726016,0.061666106065702435,0.4783794894793886,12.890625,93.9453125,2.5390625,2.7027027027027026
27,금융 및 보험업(64~66),부산 동구,부산,동구,84557,1,412,7399,3731,78,0.0011826341994157787,0.4872452901593008,8.750310441477346,5.568320043249088,50.42573320719016,1.054196513042303,2.0905923344947737
28,금융 및 보험업(64~66),부산 영도,부산,영도구,120731,0,50,343,322,11,0.0,0.04141438404386612,0.2841026745409216,14.577259475218659,93.87755102040816,3.206997084548105,3.416149068322981
29,금융 및 보험업(64~66),부산 부산진,부산,부산진구,357723,14,778,14805,4985,189,0.003913642678832504,0.2174867145808349,4.138677132865373,5.254981425194191,33.67105707531239,1.276595744680851,3.791374122367101
