"행정구역별(읍면동)",2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
"남구",217345,105079,112266,215519,104369,111150,1826,710,1116,85021,84578,49,394,76688,16369,56746,1481,1236,856,1417
"북구",450023,224400,225623,443928,221455,222473,6095,2945,3150,178763,177427,100,1236,158154,24416,126669,2188,2757,2124,3037
"광산구",420665,213198,207467,403223,202498,200725,17442,10700,6742,156103,151510,145,4448,140371,18119,117790,2764,776,922,3003
"대전광역시",1511214,758035,753179,1488356,747076,741280,22858,10959,11899,608260,602175,481,5604,486764,80885,355517,10378,34764,5220,11860
"동구",237297,119833,117464,231744,117144,114600,5553,2689,2864,100706,99157,109,1440,78580,19612,48413,2248,7166,1141,1066
"중구",239284,117939,121345,237337,117203,120134,1947,736,1211,96448,95807,85,556,81931,18524,51232,2439,8272,1464,1319
"서구",484492,238128,246364,480243,236333,243910,4249,1795,2454,195409,194136,99,1174,149952,20691,118791,2546,6951,973,3997
"유성구",365833,188741,177092,357732,184527,173205,8101,4214,3887,141924,140085,129,1710,114934,11154,97677,1585,3668,850,4390
"대덕구",184308,93394,90914,181300,91869,89431,3008,1525,1483,73773,72990,59,724,61367,10904,39404,1560,8707,792,1088
"울산광역시",1150116,595795,554321,1122954,579263,543691,27162,16532,10630,439930,431391,243,8296,379741,66764,273230,8080,25226,6441,10518
"읍부",170611,89508,81103,163796,85151,78645,6815,4357,2458,62696,60260,34,2402,56848,9838,42233,1207,2725,845,1119
"면부",54223,28658,25565,51182,26184,24998,3041,2474,567,22666,22018,59,589,22458,11829,8012,799,1314,504,1351
"동부",925282,477629,447653,907976,467928,440048,17306,9701,7605,354568,349113,150,5305,300435,45097,222985,6074,21187,5092,8048
"중구",227054,115519,111535,224067,114211,109856,2987,1308,1679,88820,87707,24,1089,71510,15604,45605,1935,6991,1375,1607
"남구",327561,167350,160211,320765,163780,156985,6796,3570,3226,130277,128089,70,2118,107471,14134,80444,2234,8374,2285,4626
"동구",166992,88798,78194,162639,85926,76713,4353,2872,1481,62992,61714,28,1250,53500,7948,39232,1418,4058,844,967
"북구",203675,105962,97713,200505,104011,96494,3170,1951,1219,72479,71603,28,848,67954,7411,57704,487,1764,588,848
"울주군",224834,118166,106668,214978,111335,103643,9856,6831,3025,85362,82278,93,2991,79306,21667,50245,2006,4039,1349,2470
"세종특별자치시",312374,157289,155085,305888,153402,152486,6486,3887,2599,120629,119029,102,1498,118959,16099,99512,1113,1531,704,2983
"읍부",50660,26604,24056,48780,25577,23203,1880,1027,853,20515,19889,31,595,16103,2968,11135,739,890,371,363
"면부",52239,28344,23895,48999,26056,22943,3240,2288,952,24259,23571,65,623,18784,12891,4732,187,641,333,1120
"동부",209475,102341,107134,208109,101769,106340,1366,572,794,75855,75569,6,280,84072,240,83645,187,X,X,1500
"세종시",312374,157289,155085,305888,153402,152486,6486,3887,2599,120629,119029,102,1498,118959,16099,99512,1113,1531,704,2983
"경기도",13103188,6635106,6468082,12544991,6301846,6243145,558197,333260,224937,4934208,4751497,4247,178464,4169100,505213,2860249,126516,643052,34070,229894
"읍부",1425450,741872,683578,1344687,688086,656601,80763,53786,26977,533440,511954,713,20773,488670,81679,298358,21749,81694,5190,22893
"면부",829967,456511,373456,738161,386393,351768,91806,70118,21688,320946,300253,1054,19639,273026,160262,61797,9082,35658,6227,28886
"동부",10847771,5436723,5411048,10462143,5227367,5234776,385628,209356,176272,4079822,3939290,2480,138052,3407404,263272,2500094,95685,525700,22653,178115
"수원시",1218843,616240,602603,1165154,587595,577559,53689,28645,25044,472239,450819,236,21184,365222,34469,264809,8593,54779,2572,18174
"장안구",288719,146009,142710,278897,140769,138128,9822,5240,4582,107327,103605,71,3651,85588,9074,55435,1948,18403,728,1356
"권선구",379834,191697,188137,365133,184151,180982,14701,7546,7155,146956,141221,44,5691,116924,10508,83877,2305,19395,839,2700
"팔달구",194299,98496,95803,174315,87626,86689,19984,10870,9114,83868,75222,62,8584,59244,10909,31015,1839,14709,772,5120
"영통구",355991,180038,175953,346809,175049,171760,9182,4989,4193,134088,130771,59,3258,103466,3978,94482,2501,2272,233,8998
"성남시",931393,461018,470375,905995,448306,457689,25398,12712,12686,369346,359322,149,9875,255925,35534,175174,10469,33089,1659,28991
"수정구",240405,121508,118897,225403,113898,111505,15002,7610,7392,103414,96967,47,6400,57636,19481,25031,948,11552,624,3144
"중원구",221034,111506,109528,216448,109288,107160,4586,2218,2368,90402,88527,52,1823,60070,10807,27945,679,19843,796,3982
"분당구",469954,228004,241950,464144,225120,239024,5810,2884,2926,175530,173828,50,1652,138219,5246,122198,8842,1694,239,21865
"의정부시",432286,213199,219087,426103,210212,215891,6183,2987,3196,166468,164439,108,1921,143102,13158,104963,2858,21018,1105,4513
"안양시",566574,280358,286216,556062,275201,280861,10512,5157,5355,209134,204984,94,4056,177651,10055,129814,3310,33206,1266,7945
"만안구",251818,125781,126037,243891,121862,122029,7927,3919,4008,96350,93094,69,3187,75625,6833,45236,2019,20788,749,2775
"동안구",314756,154577,160179,312171,153339,158832,2585,1238,1347,112784,111890,25,869,102026,3222,84578,1291,12418,517,5170
"부천시",848756,421816,426940,815331,404899,410432,33425,16917,16508,323631,311868,218,11545,265529,18093,150842,7773,86086,2735,19059
"광명시",323460,160088,163372,314500,155672,158828,8960,4416,4544,120765,117086,35,3644,104641,6008,71403,2016,24589,625,3807
"평택시",504485,262531,241954,472806,243767,229039,31679,18764,12915,197855,187813,210,9832,191831,32688,122772,6133,28226,2012,6265
"동두천시",97535,48888,48647,93080,46304,46776,4455,2584,1871,38358,37226,67,1065,36825,6522,21511,2507,5905,380,1030
"안산시",720105,373477,346628,643837,329424,314413,76268,44053,32215,280700,251418,339,28943,200334,15659,98015,10016,75274,1370,10883
"상록구",367063,187160,179903,349690,178053,171637,17373,9107,8266,143483,137013,130,6340,103936,8067,40590,1222,53319,738,2174
"단원구",353042,186317,166725,294147,151371,142776,58895,34946,23949,137217,114405,209,22603,96398,7592,57425,8794,21955,632,8709
"고양시",1006992,493670,513322,989031,484278,504753,17961,9392,8569,375860,370108,226,5526,314605,21125,246158,11494,34215,1613,27565
"덕양구",436865,216427,220438,429930,213007,216923,6935,3420,3515,166532,164489,100,1943,143979,9853,105252,5324,22668,882,5861
"일산동구",287473,140138,147335,281171,136570,144601,6302,3568,2734,109467,107411,90,1966,77984,7598,58750,4002,7211,423,18645
"일산서구",282654,137105,145549,277930,134701,143229,4724,2404,2320,99861,98208,36,1617,92642,3674,82156,2168,4336,308,3059
"과천시",53740,26376,27364,53341,26159,27182,399,217,182,18813,18678,11,124,12772,1732,8999,274,1673,94,493
"구리시",195868,96907,98961,193966,96042,97924,1902,865,1037,72501,71874,30,597,58785,5175,45596,2275,5276,463,1210
"남양주시",661866,330430,331436,652055,324516,327539,9811,5914,3897,235291,232836,190,2265,220328,16658,166666,11011,24513,1480,6900
"오산시",228059,117424,110635,214399,110270,104129,13660,7154,6506,89029,83469,61,5499,74898,5095,60089,1562,7607,545,1994
"시흥시",480201,254589,225612,432752,226421,206331,47449,28168,19281,184106,165423,159,18524,147295,7333,113575,1638,23467,1282,8951
"군포시",276860,137539,139321,267023,132411,134612,9837,5128,4709,102510,98728,65,3717,87516,3553,70664,1140,11700,459,3549
"의왕시",149599,74569,75030,147909,73688,74221,1690,881,809,54228,53682,32,514,47471,2751,35548,683,8244,245,1664
"하남시",238592,119859,118733,235363,117889,117474,3229,1970,1259,90538,89479,39,1020,73525,6119,63914,1141,1789,562,5948
"용인시",1026126,512175,513951,1000419,497497,502922,25707,14678,11029,362758,355967,289,6502,327895,28854,255968,10852,30545,1676,12126
"처인구",259524,135040,124484,246268,126620,119648,13256,8420,4836,95975,92279,162,3534,85454,18455,38299,5648,21834,1218,3872
"기흥구",422583,209139,213444,415067,205239,209828,7516,3900,3616,147140,145151,83,1906,132674,7068,115465,3432,6411,298,4010
"수지구",344019,167996,176023,339084,165638,173446,4935,2358,2577,119643,118537,44,1062,109767,3331,102204,1772,2300,160,4244
"파주시",447906,229834,218072,432738,219259,213479,15168,10575,4593,162680,159143,196,3341,150361,26001,106557,3582,12941,1280,6084
"이천시",220599,113933,106666,210461,107850,102611,10138,6083,4055,81222,78535,113,2574,72721,21776,36247,3277,10295,1126,3210
"안성시",201135,104916,96219,184605,94266,90339,16530,10650,5880,77319,72418,173,4728,70478,21619,41446,2601,3947,865,3462
"김포시",424865,219676,205189,398565,199424,199141,26300,20252,6048,153946,147297,129,6520,141596,12884,115998,4285,7588,841,7372
"화성시",777295,411255,366040,724773,373995,350778,52522,37260,15262,284445,271365,407,12673,253213,32057,199976,3705,15618,1857,19701
"광주시",364178,188618,175560,346616,176796,169820,17562,11822,5740,135384,131002,113,4269,120155,15975,46086,3831,53281,982,4554
"양주시",217776,111825,105951,207662,104514,103148,10114,7311,2803,80103,77928,137,2038,76037,10869,56487,1207,6548,926,3267
"포천시",161564,87854,73710,144058,74798,69260,17506,13056,4450,62389,58539,146,3704,53552,21112,19968,2609,8776,1087,5350
"여주시",112096,57035,55061,107025,53964,53061,5071,3071,2000,43398,42310,105,983,40237,19891,13794,1358,4276,918,2037
"연천군",43383,22888,20495,42048,21951,20097,1335,937,398,18455,18089,29,337,15967,8980,4291,1177,1116,403,878
"가평군",59957,30404,29553,58533,29783,28750,1424,621,803,25133,24724,53,356,25083,14272,5132,1826,3051,802,1167
"양평군",111094,55715,55379,108781,54695,54086,2313,1020,1293,45604,44928,88,588,43550,29196,7787,1313,4414,840,1745
"강원도",1520391,768604,751787,1496242,755527,740715,24149,13077,11072,634847,628484,671,5692,603644,236392,322796,21373,12051,11032,15940
"읍부",259555,133133,126422,255141,130673,124468,4414,2460,1954,106755,105602,147,1006,106303,48618,44780,6175,4074,2656,3318
