종목코드,종목명,거래량(주)_매수,거래량(주)_매도,거래량(주)_순매수,거래대금(원)_매수,거래대금(원)_매도,거래대금(원)_순매수,업종명
081000,일진다이아,"426,798","428,091","-1,293","14,731,931,200","13,700,325,400","1,031,605,800",기타 화학제품 제조업
064960,S&T모티브,"713,700","688,140","25,560","27,381,207,900","26,360,483,800","1,020,724,100",자동차 신품 부품 제조업
120030,조선선재,"39,071","24,683","14,388","3,836,004,500","2,824,105,000","1,011,899,500",기타 금속 가공제품 제조업
002820,선창산업,"585,374","297,158","288,216","1,955,602,440","954,431,425","1,001,171,015",나무제품 제조업
005420,코스모화학,"466,226","344,149","122,077","3,941,985,920","2,943,877,535","998,108,385",기타 화학제품 제조업
002690,동일제강,"629,286","116,774","512,512","1,196,085,372","199,291,176","996,794,196",1차 철강 제조업
009680,모토닉,"363,507","222,836","140,671","2,538,786,975","1,559,124,060","979,662,915",자동차 신품 부품 제조업
003650,미창석유,"15,163","312","14,851","958,758,500","19,538,800","939,219,700",석유 정제품 제조업
058730,다스코,"441,495","277,265","164,230","2,331,523,635","1,395,800,225","935,723,410","구조용 금속제품, 탱크 및 증기발생기 제조업"
300720,한일시멘트,"26,546","15,373","11,173","2,139,960,300","1,218,963,500","920,996,800","시멘트, 석회, 플라스터 및 그 제품 제조업"
024090,디씨엠,"101,345","13,632","87,713","1,038,005,010","141,639,880","896,365,130",1차 철강 제조업
007980,태평양물산,"1,324,998","621,495","703,503","2,074,844,590","1,209,828,100","865,016,490",봉제의복 제조업
001360,삼성제약,"910,613","720,661","189,952","3,758,967,155","2,907,709,355","851,257,800",의약품 제조업
078520,에이블씨엔씨,"243,810","142,601","101,209","2,258,062,060","1,423,113,270","834,948,790",기타 화학제품 제조업
281820,케이씨텍,"385,961","335,398","50,563","7,938,897,850","7,116,800,000","822,097,850","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
095720,웅진씽크빅,"744,031","430,911","313,120","1,855,936,740","1,062,908,250","793,028,490",초등 교육기관
094280,효성ITX,"178,488","110,807","67,681","2,523,130,450","1,759,581,700","763,548,750",기타 사업지원 서비스업
058650,세아홀딩스,"13,906","2,869","11,037","935,849,000","175,740,300","760,108,700",1차 철강 제조업
036580,팜스코,"471,215","325,527","145,688","2,488,035,185","1,730,978,350","757,056,835","곡물가공품, 전분 및 전분제품 제조업"
008730,율촌화학,"192,402","148,445","43,957","2,746,277,450","1,994,726,550","751,550,900",플라스틱제품 제조업
009970,영원무역홀딩스,"54,586","32,867","21,719","2,030,278,950","1,288,015,050","742,263,900",기타 금융업
227840,현대코퍼레이션홀딩스,"85,672","11,197","74,475","822,948,850","117,240,410","705,708,440",음·식료품 및 담배 도매업
001390,KG케미칼,"172,604","124,176","48,428","2,321,999,210","1,648,692,060","673,307,150",기초 화학물질 제조업
