종목코드,종목명,거래량(주)_매수,거래량(주)_매도,거래량(주)_순매수,거래대금(원)_매수,거래대금(원)_매도,거래대금(원)_순매수,업종명
001450,현대해상,"11,862,361","10,917,274","945,087","274,245,495,600","254,686,417,050","19,559,078,550",보험업
006840,AK홀딩스,"5,257,960","4,332,115","925,845","111,644,198,350","92,282,316,850","19,361,881,500",기타 금융업
002960,한국쉘석유,"247,269","172,873","74,396","63,775,381,500","44,435,724,000","19,339,657,500",석유 정제품 제조업
001130,대한제분,"1,105,152","966,171","138,981","163,420,583,700","144,209,061,800","19,211,521,900","곡물가공품, 전분 및 전분제품 제조업"
308170,센트랄모텍,"106,521,568","105,911,936","609,632","3,288,093,845,150","3,268,927,270,950","19,166,574,200",자동차 신품 부품 제조업
111770,영원무역,"9,576,438","8,763,384","813,054","259,390,716,150","240,404,234,550","18,986,481,600",상품 종합 도매업
009420,한올바이오파마,"78,950,527","78,936,187","14,340","2,167,295,793,550","2,148,383,216,900","18,912,576,650",의약품 제조업
003240,태광산업,"104,509","80,187","24,322","77,850,131,000","59,174,394,000","18,675,737,000",화학섬유 제조업
017180,명문제약,"558,560,090","556,167,180","2,392,910","3,621,232,612,990","3,602,571,633,425","18,660,979,565",의약품 제조업
272450,진에어,"39,399,081","37,480,193","1,918,888","430,370,030,000","411,849,468,200","18,520,561,800",항공 여객 운송업
096760,JW홀딩스,"64,591,766","61,491,007","3,100,759","374,511,494,090","356,040,556,965","18,470,937,125",기타 금융업
079980,휴비스,"94,341,379","91,809,291","2,532,088","594,088,701,350","575,670,251,855","18,418,449,495",화학섬유 제조업
004770,써니전자,"767,964,855","763,709,924","4,254,931","3,534,395,009,160","3,516,149,405,805","18,245,603,355",반도체 제조업
105630,한세실업,"14,819,146","13,474,975","1,344,171","179,814,228,570","161,803,651,630","18,010,576,940",봉제의복 제조업
096775,SK이노베이션우,"2,708,010","2,499,214","208,796","231,008,486,950","213,337,833,050","17,670,653,900",-
002240,고려제강,"8,326,540","7,303,184","1,023,356","148,210,127,350","130,587,504,550","17,622,622,800",1차 철강 제조업
001060,JW중외제약,"77,819,008","77,349,626","469,382","2,628,407,484,600","2,611,038,116,400","17,369,368,200",의약품 제조업
002795,아모레G우,"9,549,533","8,813,701","735,832","235,981,988,250","218,916,742,850","17,065,245,400",-
298000,효성화학,"2,565,360","2,400,909","164,451","257,983,108,700","240,982,697,800","17,000,410,900",기초 화학물질 제조업
006120,SK디스커버리,"57,018,877","56,519,314","499,563","1,985,108,290,500","1,968,241,069,100","16,867,221,400",기타 금융업
001430,세아베스틸,"16,116,646","14,538,741","1,577,905","177,145,731,180","160,302,832,620","16,842,898,560",1차 철강 제조업
023590,다우기술,"46,359,777","45,503,897","855,880","919,034,252,550","902,330,283,650","16,703,968,900","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
102280,쌍방울,"1,121,342,781","1,108,823,877","12,518,904","1,242,843,571,420","1,226,216,361,327","16,627,210,093",봉제의복 제조업
005389,현대차3우B,"1,973,303","1,678,801","294,502","110,866,149,200","94,315,715,100","16,550,434,100",-
280360,롯데제과,"523,569","382,814","140,755","62,187,655,900","46,007,322,500","16,180,333,400",기타 식품 제조업
005070,코스모신소재,"173,922,812","173,196,950","725,862","2,023,792,916,025","2,007,690,202,030","16,102,713,995",기타 화학제품 제조업
284740,쿠쿠홈시스,"4,242,722","3,817,927","424,795","155,504,803,150","139,870,228,100","15,634,575,050",개인 및 가정용품 임대업
058430,포스코강판,"11,414,042","10,373,442","1,040,600","175,335,900,010","159,938,055,090","15,397,844,920",1차 철강 제조업
001520,동양,"602,974,609","592,802,990","10,171,619","866,959,937,507","851,776,580,680","15,183,356,827","시멘트, 석회, 플라스터 및 그 제품 제조업"
014680,한솔케미칼,"4,156,202","4,007,350","148,852","448,767,306,200","433,611,747,800","15,155,558,400",기초 화학물질 제조업
170900,동아에스티,"1,798,535","1,633,573","164,962","162,779,252,200","147,709,186,900","15,070,065,300",의약품 제조업
084690,대상홀딩스,"30,183,318","27,991,227","2,192,091","207,592,885,690","192,579,016,945","15,013,868,745",기타 금융업
03473K,SK우,"7,665,848","7,612,383","53,465","2,204,785,803,200","2,189,828,118,900","14,957,684,300",-
112610,씨에스윈드,"15,979,627","15,968,213","11,414","774,175,182,500","759,307,921,650","14,867,260,850","구조용 금속제품, 탱크 및 증기발생기 제조업"
00279K,아모레G3우(전환),"2,208,354","1,869,308","339,046","86,081,267,400","71,275,143,800","14,806,123,600",-
281820,케이씨텍,"19,591,172","18,925,510","665,662","407,373,355,150","392,592,672,150","14,780,683,000","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
003620,쌍용차,"592,462,882","585,198,560","7,264,322","1,972,730,691,235","1,957,953,928,140","14,776,763,095",자동차용 엔진 및 자동차 제조업
075580,세진중공업,"67,502,553","65,107,926","2,394,627","328,983,252,840","314,281,566,400","14,701,686,440",선박 및 보트 건조업
049770,동원F&B,"554,020","472,800","81,220","104,476,807,500","90,109,476,500","14,367,331,000",기타 식품 제조업
267260,현대일렉트릭,"33,619,728","32,088,969","1,530,759","303,583,971,320","289,460,290,235","14,123,681,085","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
019680,대교,"38,228,042","35,885,391","2,342,651","199,971,876,585","185,886,946,910","14,084,929,675",초등 교육기관
079430,현대리바트,"43,673,094","42,280,585","1,392,509","669,501,175,560","655,820,260,050","13,680,915,510",가구 제조업
002030,아세아,"428,458","254,748","173,710","34,236,961,700","20,589,246,700","13,647,715,000",회사 본부 및 경영 컨설팅 서비스업
004430,송원산업,"24,591,344","23,466,000","1,125,344","323,846,769,460","310,282,553,930","13,564,215,530",기타 화학제품 제조업
028670,팬오션,"179,829,355","176,414,361","3,414,994","650,748,454,285","637,244,251,475","13,504,202,810",해상 운송업
334890,이지스밸류리츠,"10,081,721","7,167,850","2,913,871","46,792,407,835","33,330,986,725","13,461,421,110",부동산 임대 및 공급업
005880,대한해운,"10,640,671","9,987,327","653,344","184,281,864,450","170,984,323,600","13,297,540,850",해상 운송업
