종목코드,종목명,거래량(주)_매수,거래량(주)_매도,거래량(주)_순매수,거래대금(원)_매수,거래대금(원)_매도,거래대금(원)_순매수,업종명
033270,유나이티드제약,"21,709,434","20,965,311","744,123","382,363,066,550","368,774,153,700","13,588,912,850",의약품 제조업
004770,써니전자,"80,882,170","77,755,360","3,126,810","276,422,400,315","263,046,909,140","13,375,491,175",반도체 제조업
011790,SKC,"5,683,929","5,298,650","385,279","223,780,620,750","210,532,000,700","13,248,620,050",기타 화학제품 제조업
032640,LG유플러스,"18,236,869","17,041,371","1,195,498","202,434,328,570","189,403,560,190","13,030,768,380",전기 통신업
030200,KT,"12,809,654","12,179,303","630,351","260,692,665,250","247,722,298,100","12,970,367,150",전기 통신업
013890,지누스,"5,435,233","5,242,312","192,921","322,128,315,100","309,189,171,550","12,939,143,550",가구 제조업
018880,한온시스템,"9,035,314","7,644,569","1,390,745","83,248,064,580","70,594,725,890","12,653,338,690",일반 목적용 기계 제조업
036570,엔씨소프트,"887,160","868,798","18,362","548,429,636,000","535,886,142,000","12,543,494,000",소프트웨어 개발 및 공급업
089590,제주항공,"9,183,369","8,401,877","781,492","161,300,844,350","149,061,115,650","12,239,728,700",항공 여객 운송업
010120,LS산전,"1,606,635","1,228,140","378,495","51,468,281,650","39,480,810,850","11,987,470,800","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
272450,진에어,"11,705,464","10,331,500","1,373,964","105,375,525,500","93,439,220,720","11,936,304,780",항공 여객 운송업
005940,NH투자증권,"22,384,870","20,901,637","1,483,233","184,830,906,050","173,113,426,010","11,717,480,040",금융 지원 서비스업
336370,두산솔루스,"11,530,929","10,908,244","622,685","238,800,731,600","227,105,579,600","11,695,152,000",전자부품 제조업
002350,넥센타이어,"5,605,743","3,362,272","2,243,471","27,893,479,355","16,452,205,815","11,441,273,540",고무제품 제조업
030000,제일기획,"5,507,667","4,706,872","800,795","82,291,242,300","70,983,686,150","11,307,556,150",광고업
